row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
255,Would you consider taking a break from that screen for your well-being?,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
256,Please remember to engage in face-to-face interactions with your friends.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
257,You should learn about finance to secure your future.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
258,Might it interest you to try a puzzle for some relaxation?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
259,You ought to learn from your mistakes in games.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
260,Perhaps you should try fishing.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
261,What happened to playing outside like we used to?,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
262,Be careful about the content you consume while gaming.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
263,You could put those gaming skills to work in a real job.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
264,Consider the narrative of the game for a richer experience.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
265,Can you balance gaming with your other responsibilities?,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
266,You must recognize the signs of too much gaming.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
267,I believe your time could be better spent on more traditional hobbies.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
268,Have you thought about how much time your gaming takes away from family?,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
269,Why not try some puzzles for fun?,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
270,You really should explore other activities in addition to gaming.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
271,It's important to understand the rules of the games you play.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
272,Maybe you should read a book instead.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
273,I would encourage you to spend your time more productively than just playing games.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
274,You might want to reflect on your gaming priorities.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
275,You might want to connect more with family during leisure time.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
276,You should spend more time outside instead of gaming all day.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
277,Have you thought about creating your own game character?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
278,I would humbly recommend trying out some classic games from the past.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
279,I would kindly suggest you experiment with different gaming platforms.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
280,Have you ever thought about how gaming can affect your relationships?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
281,I believe it is important to limit screen time for your well-being.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
282,How can you enjoy those pixelated graphics?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
283,Might I encourage you to share your gaming experiences with others?,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
284,Shouldn't you take a break from gaming sometimes?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
285,Don't forget to take some time off and relax.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
286,How do you keep up with all those gaming updates?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
287,Isn't there something more rewarding you could spend your time on?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
288,You should tidy up your room instead of just playing.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
289,You should really learn how to use that device properly.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
290,It's important to have real-life friends and not just online ones.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
291,I think you spend too much time on those devices.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
292,Have you thought about learning a musical instrument?,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
293,Maybe try a board game night.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
294,It would be wise to limit distractions while gaming.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
